method,degrade_level,geom,mode,select,alpha,q_deg,val_n,test_n,coverage,target,set_size_deg
pdb-zscore-neg-L2,degraded-moderate,G1,zscore-neg-L2,-,0.2,160.0,259,296,0.8277,0.8,320.0
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.05,180.0,259,296,1.0,0.95,360.0
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.1,175.0,259,296,0.9696,0.9,350.0
pdb-neg-L2,degraded-moderate,G3,neg-L2,-,0.2,140.0,259,296,0.8176,0.8,280.0
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.05,180.0,259,296,1.0,0.95,360.0
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.1,175.0,259,296,0.9662,0.9,350.0
pdb-zscore-neg-L2,degraded-moderate,G3,zscore-neg-L2,-,0.2,140.0,259,296,0.8176,0.8,280.0
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.05,180.0,259,296,1.0,0.95,360.0
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.1,175.0,259,296,0.9426,0.9,350.0
pdb-neg-L2,degraded-moderate,G5,neg-L2,-,0.2,90.0,259,296,0.8277,0.8,180.0
pdb-zscore-neg-L2,degraded-moderate,G5,zscore-neg-L2,-,0.05,175.0,259,296,0.9324,0.95,350.0
pdb-zscore-neg-L2,degraded-moderate,G5,zscore-neg-L2,-,0.1,175.0,259,296,0.9324,0.9,350.0
pdb-zscore-neg-L2,degraded-moderate,G5,zscore-neg-L2,-,0.2,90.0,259,296,0.8311,0.8,180.0
