method,degrade_level,geom,mode,select,record_id,yaw_true,yaw_err,q_deg_a010,covered_a010
neural,clean,G1,ocs_only,best,G1_yaw290_pitch-060,290.0,26.6687,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch+020,65.0,4.436,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw315_pitch+040,315.0,91.8439,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw285_pitch+030,285.0,12.8425,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw155_pitch-075,155.0,92.1033,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw265_pitch-075,265.0,34.0978,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw195_pitch-025,195.0,36.7234,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw045_pitch-025,45.0,25.3974,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw210_pitch-070,210.0,29.7958,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw110_pitch+050,110.0,172.5828,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw245_pitch+050,245.0,31.0992,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch+050,15.0,174.7617,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw230_pitch+015,230.0,4.4139,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw300_pitch+035,300.0,11.9582,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw105_pitch-015,105.0,124.4149,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw070_pitch-045,70.0,3.7146,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw260_pitch-005,260.0,121.3685,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw300_pitch+060,300.0,1.097,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch-055,15.0,175.1163,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw040_pitch+045,40.0,25.6782,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw295_pitch+090,295.0,61.079,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch-075,115.0,154.3135,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw055_pitch-010,55.0,1.9736,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw190_pitch+060,190.0,98.8547,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw010_pitch-040,10.0,134.9379,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw210_pitch-030,210.0,48.094,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw190_pitch-020,190.0,57.0365,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw010_pitch+080,10.0,133.9529,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch-080,65.0,7.699,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch-010,270.0,72.041,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw150_pitch+035,150.0,23.6712,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw030_pitch-065,30.0,85.5816,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw325_pitch-090,325.0,89.5869,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw190_pitch-050,190.0,37.9275,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw295_pitch+080,295.0,47.1711,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw220_pitch-070,220.0,105.3868,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw185_pitch-060,185.0,56.8489,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw310_pitch+060,310.0,63.7947,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw245_pitch+080,245.0,10.2145,160.8977,1
