method,degrade_level,geom,mode,select,alpha,stratum,val_n,test_n,q_deg,coverage,target,set_size_deg,fallback_pooled
neural,degraded-mild,G1,ocs_only,best,0.2,270-360,66,84,108.6143,0.7976,0.8,217.2285,False
neural,degraded-mild,G1,ocs_only,final,0.1,000-090,59,67,151.413,0.8657,0.9,302.826,False
neural,degraded-mild,G1,ocs_only,final,0.1,090-180,64,76,165.5615,0.8684,0.9,331.1229,False
neural,degraded-mild,G1,ocs_only,final,0.1,180-270,70,69,171.9839,0.9275,0.9,343.9678,False
neural,degraded-mild,G1,ocs_only,final,0.1,270-360,66,84,128.5369,0.9167,0.9,257.0738,False
neural,degraded-mild,G1,ocs_only,final,0.2,000-090,59,67,83.543,0.6716,0.8,167.0859,False
neural,degraded-mild,G1,ocs_only,final,0.2,090-180,64,76,150.2599,0.7763,0.8,300.5199,False
neural,degraded-mild,G1,ocs_only,final,0.2,180-270,70,69,166.9602,0.8551,0.8,333.9204,False
neural,degraded-mild,G1,ocs_only,final,0.2,270-360,66,84,105.825,0.8333,0.8,211.65,False
neural,degraded-mild,G1,image_only,best,0.1,000-090,59,67,3.8795,0.9552,0.9,7.759,False
neural,degraded-mild,G1,image_only,best,0.1,090-180,64,76,4.3024,0.9211,0.9,8.6048,False
neural,degraded-mild,G1,image_only,best,0.1,180-270,70,69,3.405,0.9275,0.9,6.8099,False
neural,degraded-mild,G1,image_only,best,0.1,270-360,66,84,4.5733,0.9524,0.9,9.1467,False
neural,degraded-mild,G1,image_only,best,0.2,000-090,59,67,2.9748,0.8806,0.8,5.9496,False
neural,degraded-mild,G1,image_only,best,0.2,090-180,64,76,2.719,0.7237,0.8,5.4381,False
neural,degraded-mild,G1,image_only,best,0.2,180-270,70,69,2.5455,0.8986,0.8,5.0909,False
neural,degraded-mild,G1,image_only,best,0.2,270-360,66,84,2.92,0.7857,0.8,5.8399,False
neural,degraded-mild,G1,image_only,final,0.1,000-090,59,67,3.8795,0.9552,0.9,7.759,False
neural,degraded-mild,G1,image_only,final,0.1,090-180,64,76,4.3024,0.9211,0.9,8.6048,False
neural,degraded-mild,G1,image_only,final,0.1,180-270,70,69,3.405,0.9275,0.9,6.8099,False
neural,degraded-mild,G1,image_only,final,0.1,270-360,66,84,4.5733,0.9524,0.9,9.1467,False
neural,degraded-mild,G1,image_only,final,0.2,000-090,59,67,2.9748,0.8806,0.8,5.9496,False
neural,degraded-mild,G1,image_only,final,0.2,090-180,64,76,2.719,0.7237,0.8,5.4381,False
neural,degraded-mild,G1,image_only,final,0.2,180-270,70,69,2.5455,0.8986,0.8,5.0909,False
neural,degraded-mild,G1,image_only,final,0.2,270-360,66,84,2.92,0.7857,0.8,5.8399,False
neural,degraded-mild,G1,joint,best,0.1,000-090,59,67,3.7756,0.8209,0.9,7.5513,False
neural,degraded-mild,G1,joint,best,0.1,090-180,64,76,3.7867,0.8684,0.9,7.5733,False
neural,degraded-mild,G1,joint,best,0.1,180-270,70,69,2.836,0.9275,0.9,5.6721,False
neural,degraded-mild,G1,joint,best,0.1,270-360,66,84,5.4811,0.9643,0.9,10.9622,False
neural,degraded-mild,G1,joint,best,0.2,000-090,59,67,3.2891,0.7761,0.8,6.5781,False
neural,degraded-mild,G1,joint,best,0.2,090-180,64,76,2.8585,0.7632,0.8,5.717,False
neural,degraded-mild,G1,joint,best,0.2,180-270,70,69,1.982,0.7971,0.8,3.964,False
neural,degraded-mild,G1,joint,best,0.2,270-360,66,84,3.7432,0.881,0.8,7.4863,False
neural,degraded-mild,G1,joint,final,0.1,000-090,59,67,3.7756,0.8209,0.9,7.5513,False
neural,degraded-mild,G1,joint,final,0.1,090-180,64,76,3.7867,0.8684,0.9,7.5733,False
neural,degraded-mild,G1,joint,final,0.1,180-270,70,69,2.836,0.9275,0.9,5.6721,False
neural,degraded-mild,G1,joint,final,0.1,270-360,66,84,5.4811,0.9643,0.9,10.9622,False
neural,degraded-mild,G1,joint,final,0.2,000-090,59,67,3.2891,0.7761,0.8,6.5781,False
neural,degraded-mild,G1,joint,final,0.2,090-180,64,76,2.8585,0.7632,0.8,5.717,False
neural,degraded-mild,G1,joint,final,0.2,180-270,70,69,1.982,0.7971,0.8,3.964,False
neural,degraded-mild,G1,joint,final,0.2,270-360,66,84,3.7432,0.881,0.8,7.4863,False
neural,degraded-mild,G3,ocs_only,best,0.1,000-090,59,67,168.2468,0.9851,0.9,336.4935,False
neural,degraded-mild,G3,ocs_only,best,0.1,090-180,64,76,161.3374,0.9211,0.9,322.6747,False
neural,degraded-mild,G3,ocs_only,best,0.1,180-270,70,69,105.7513,0.9855,0.9,211.5026,False
neural,degraded-mild,G3,ocs_only,best,0.1,270-360,66,84,115.8739,0.8929,0.9,231.7477,False
neural,degraded-mild,G3,ocs_only,best,0.2,000-090,59,67,142.8382,0.9104,0.8,285.6764,False
neural,degraded-mild,G3,ocs_only,best,0.2,090-180,64,76,117.0523,0.8289,0.8,234.1046,False
neural,degraded-mild,G3,ocs_only,best,0.2,180-270,70,69,42.8116,0.913,0.8,85.6232,False
neural,degraded-mild,G3,ocs_only,best,0.2,270-360,66,84,90.2641,0.75,0.8,180.5282,False
neural,degraded-mild,G3,ocs_only,final,0.1,000-090,59,67,170.8385,1.0,0.9,341.677,False
neural,degraded-mild,G3,ocs_only,final,0.1,090-180,64,76,160.0085,0.9737,0.9,320.0171,False
neural,degraded-mild,G3,ocs_only,final,0.1,180-270,70,69,135.8933,0.9855,0.9,271.7867,False
neural,degraded-mild,G3,ocs_only,final,0.1,270-360,66,84,104.8154,0.8214,0.9,209.6307,False
neural,degraded-mild,G3,ocs_only,final,0.2,000-090,59,67,137.8249,0.9403,0.8,275.6498,False
neural,degraded-mild,G3,ocs_only,final,0.2,090-180,64,76,108.1284,0.8158,0.8,216.2568,False
neural,degraded-mild,G3,ocs_only,final,0.2,180-270,70,69,45.5895,0.8841,0.8,91.179,False
neural,degraded-mild,G3,ocs_only,final,0.2,270-360,66,84,88.5343,0.7262,0.8,177.0686,False
neural,degraded-mild,G5,ocs_only,best,0.1,000-090,59,67,72.3956,0.8806,0.9,144.7913,False
neural,degraded-mild,G5,ocs_only,best,0.1,090-180,64,76,93.0346,0.8947,0.9,186.0693,False
neural,degraded-mild,G5,ocs_only,best,0.1,180-270,70,69,39.1816,0.8986,0.9,78.3632,False
neural,degraded-mild,G5,ocs_only,best,0.1,270-360,66,84,115.506,0.9524,0.9,231.0121,False
neural,degraded-mild,G5,ocs_only,best,0.2,000-090,59,67,21.7041,0.7164,0.8,43.4081,False
neural,degraded-mild,G5,ocs_only,best,0.2,090-180,64,76,65.3636,0.8421,0.8,130.7271,False
neural,degraded-mild,G5,ocs_only,best,0.2,180-270,70,69,18.0074,0.6957,0.8,36.0149,False
neural,degraded-mild,G5,ocs_only,best,0.2,270-360,66,84,52.5662,0.8095,0.8,105.1325,False
neural,degraded-mild,G5,ocs_only,final,0.1,000-090,59,67,72.3956,0.8806,0.9,144.7913,False
neural,degraded-mild,G5,ocs_only,final,0.1,090-180,64,76,93.0346,0.8947,0.9,186.0693,False
neural,degraded-mild,G5,ocs_only,final,0.1,180-270,70,69,39.1816,0.8986,0.9,78.3632,False
neural,degraded-mild,G5,ocs_only,final,0.1,270-360,66,84,115.506,0.9524,0.9,231.0121,False
neural,degraded-mild,G5,ocs_only,final,0.2,000-090,59,67,21.7041,0.7164,0.8,43.4081,False
neural,degraded-mild,G5,ocs_only,final,0.2,090-180,64,76,65.3636,0.8421,0.8,130.7271,False
neural,degraded-mild,G5,ocs_only,final,0.2,180-270,70,69,18.0074,0.6957,0.8,36.0149,False
neural,degraded-mild,G5,ocs_only,final,0.2,270-360,66,84,52.5662,0.8095,0.8,105.1325,False
neural,degraded-mild,G5,image_only,best,0.1,000-090,59,67,6.667,0.8955,0.9,13.3339,False
neural,degraded-mild,G5,image_only,best,0.1,090-180,64,76,8.1772,0.7763,0.9,16.3544,False
neural,degraded-mild,G5,image_only,best,0.1,180-270,70,69,6.2272,0.8696,0.9,12.4543,False
neural,degraded-mild,G5,image_only,best,0.1,270-360,66,84,10.2061,0.9524,0.9,20.4121,False
neural,degraded-mild,G5,image_only,best,0.2,000-090,59,67,5.4425,0.8806,0.8,10.885,False
neural,degraded-mild,G5,image_only,best,0.2,090-180,64,76,4.888,0.6711,0.8,9.776,False
neural,degraded-mild,G5,image_only,best,0.2,180-270,70,69,5.1552,0.8406,0.8,10.3103,False
neural,degraded-mild,G5,image_only,best,0.2,270-360,66,84,5.7429,0.869,0.8,11.4857,False
neural,degraded-mild,G5,image_only,final,0.1,000-090,59,67,6.667,0.8955,0.9,13.3339,False
neural,degraded-mild,G5,image_only,final,0.1,090-180,64,76,8.1772,0.7763,0.9,16.3544,False
neural,degraded-mild,G5,image_only,final,0.1,180-270,70,69,6.2272,0.8696,0.9,12.4543,False
neural,degraded-mild,G5,image_only,final,0.1,270-360,66,84,10.2061,0.9524,0.9,20.4121,False
neural,degraded-mild,G5,image_only,final,0.2,000-090,59,67,5.4425,0.8806,0.8,10.885,False
neural,degraded-mild,G5,image_only,final,0.2,090-180,64,76,4.888,0.6711,0.8,9.776,False
neural,degraded-mild,G5,image_only,final,0.2,180-270,70,69,5.1552,0.8406,0.8,10.3103,False
neural,degraded-mild,G5,image_only,final,0.2,270-360,66,84,5.7429,0.869,0.8,11.4857,False
neural,degraded-mild,G5,joint,best,0.1,000-090,59,67,3.4235,0.9254,0.9,6.8471,False
neural,degraded-mild,G5,joint,best,0.1,090-180,64,76,5.4731,0.9474,0.9,10.9463,False
neural,degraded-mild,G5,joint,best,0.1,180-270,70,69,2.9871,0.8406,0.9,5.9742,False
neural,degraded-mild,G5,joint,best,0.1,270-360,66,84,4.7385,0.9405,0.9,9.4771,False
neural,degraded-mild,G5,joint,best,0.2,000-090,59,67,2.2661,0.791,0.8,4.5321,False
neural,degraded-mild,G5,joint,best,0.2,090-180,64,76,3.3492,0.8816,0.8,6.6985,False
neural,degraded-mild,G5,joint,best,0.2,180-270,70,69,2.4443,0.8116,0.8,4.8886,False
neural,degraded-mild,G5,joint,best,0.2,270-360,66,84,3.6181,0.8214,0.8,7.2362,False
neural,degraded-mild,G5,joint,final,0.1,000-090,59,67,5.0079,0.8657,0.9,10.0158,False
neural,degraded-mild,G5,joint,final,0.1,090-180,64,76,5.0229,0.9211,0.9,10.0458,False
neural,degraded-mild,G5,joint,final,0.1,180-270,70,69,3.9834,0.8841,0.9,7.9668,False
neural,degraded-mild,G5,joint,final,0.1,270-360,66,84,4.1261,0.9762,0.9,8.2521,False
neural,degraded-mild,G5,joint,final,0.2,000-090,59,67,4.4001,0.8358,0.8,8.8003,False
neural,degraded-mild,G5,joint,final,0.2,090-180,64,76,3.966,0.7895,0.8,7.932,False
neural,degraded-mild,G5,joint,final,0.2,180-270,70,69,3.1075,0.7971,0.8,6.2149,False
neural,degraded-mild,G5,joint,final,0.2,270-360,66,84,3.342,0.8571,0.8,6.6841,False
neural,degraded-moderate,G1,ocs_only,best,0.1,000-090,59,67,137.2723,0.8209,0.9,274.5446,False
neural,degraded-moderate,G1,ocs_only,best,0.1,090-180,64,76,171.7371,0.9605,0.9,343.4741,False
neural,degraded-moderate,G1,ocs_only,best,0.1,180-270,70,69,175.6423,0.9565,0.9,351.2847,False
neural,degraded-moderate,G1,ocs_only,best,0.1,270-360,66,84,162.1799,0.9762,0.9,324.3599,False
neural,degraded-moderate,G1,ocs_only,best,0.2,000-090,59,67,85.9938,0.6567,0.8,171.9875,False
neural,degraded-moderate,G1,ocs_only,best,0.2,090-180,64,76,139.6761,0.7763,0.8,279.3522,False
neural,degraded-moderate,G1,ocs_only,best,0.2,180-270,70,69,164.4139,0.8986,0.8,328.8277,False
