==== R131 P1 seed-roll scan smoke 全量开始 Wed Jul  1 21:26:33     2026 ====

######## ROLL -60 : RENDER ########
TBBmalloc: skip allocation functions replacement in ucrtbase.dll: unknown prologue for function _msize
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-15 01:37:33)
Timer 'STL Import' took 126.16 ms
Timer 'STL Import' took 4.52 ms
Timer 'STL Import' took 1.87 ms
Fra:1 Mem:75.33M (Peak 79.16M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:75.34M (Peak 79.16M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:75.34M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:75.34M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Background
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:75.42M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:82.77M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:85.50M (Peak 102.60M) | Time:00:00.22 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:85.50M (Peak 102.60M) | Time:00:00.22 | Mem:2.74M, Peak:2.74M | Scene, ViewLayer | Updating Geometry BVH yinshenban 3/3 | Building BVH
Fra:1 Mem:85.50M (Peak 102.60M) | Time:00:00.22 | Mem:2.74M, Peak:2.74M | Scene, ViewLayer | Updating Geometry BVH yinshenban 3/3 | Building OptiX acceleration structure
Fra:1 Mem:85.59M (Peak 102.60M) | Time:00:00.22 | Mem:3.31M, Peak:3.31M | Scene, ViewLayer | Updating Geometry BVH taiyangnengban 2/3 | Building BVH
Fra:1 Mem:85.59M (Peak 102.60M) | Time:00:00.22 | Mem:3.31M, Peak:3.31M | Scene, ViewLayer | Updating Geometry BVH taiyangnengban 2/3 | Building OptiX acceleration structure
Fra:1 Mem:85.91M (Peak 102.60M) | Time:00:00.22 | Mem:3.50M, Peak:3.50M | Scene, ViewLayer | Updating Geometry BVH jinshuzhuti 1/3 | Building BVH
Fra:1 Mem:85.91M (Peak 102.60M) | Time:00:00.22 | Mem:3.50M, Peak:3.50M | Scene, ViewLayer | Updating Geometry BVH jinshuzhuti 1/3 | Building OptiX acceleration structure
Fra:1 Mem:85.50M (Peak 102.60M) | Time:00:00.23 | Mem:11.84M, Peak:44.06M | Scene, ViewLayer | Updating Scene BVH | Building
