geom,degrade_level,query_split,similarity,template_mode,stratum_type,stratum,n,top1_yaw_cmae,top1_yaw_hit@30
G1,degraded-mild,test,cosine,matched-degraded,pitch_bin,-90..-45,72,96.25,0.1528
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,67.5373,0.3881
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,77.0395,0.2632
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,91.0145,0.2319
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,96.9643,0.2143
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,92.6389,0.2083
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,77.0139,0.3611
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,107.5,0.0
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,79.4444,0.2639
G1,degraded-mild,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,83.4722,0.2778
G1,degraded-mild,val,neg-L2,clean-template,yaw_sector,000-090,59,73.1356,0.3898
G1,degraded-mild,val,neg-L2,clean-template,yaw_sector,090-180,64,86.4062,0.2344
G1,degraded-mild,val,neg-L2,clean-template,yaw_sector,180-270,70,67.7143,0.4143
G1,degraded-mild,val,neg-L2,clean-template,yaw_sector,270-360,66,80.4545,0.3182
G1,degraded-mild,val,neg-L2,clean-template,pitch_bin,+00..+45,63,71.8254,0.3651
G1,degraded-mild,val,neg-L2,clean-template,pitch_bin,+45..+90,63,85.0,0.2698
G1,degraded-mild,val,neg-L2,clean-template,pitch_bin,+90..+135,7,91.4286,0.2857
G1,degraded-mild,val,neg-L2,clean-template,pitch_bin,-45..+00,63,72.9365,0.3968
G1,degraded-mild,val,neg-L2,clean-template,pitch_bin,-90..-45,63,75.873,0.3333
G1,degraded-mild,val,cosine,clean-template,yaw_sector,000-090,59,98.6441,0.0
G1,degraded-mild,val,cosine,clean-template,yaw_sector,090-180,64,26.9531,0.625
G1,degraded-mild,val,cosine,clean-template,yaw_sector,180-270,70,79.3571,0.0
G1,degraded-mild,val,cosine,clean-template,yaw_sector,270-360,66,153.5606,0.0
G1,degraded-mild,val,cosine,clean-template,pitch_bin,+00..+45,63,83.4127,0.1429
G1,degraded-mild,val,cosine,clean-template,pitch_bin,+45..+90,63,95.873,0.1111
G1,degraded-mild,val,cosine,clean-template,pitch_bin,+90..+135,7,71.4286,0.2857
G1,degraded-mild,val,cosine,clean-template,pitch_bin,-45..+00,63,96.5873,0.1587
G1,degraded-mild,val,cosine,clean-template,pitch_bin,-90..-45,63,85.0,0.1905
G1,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,000-090,59,73.1356,0.3898
G1,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,090-180,64,86.4062,0.2344
G1,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,180-270,70,67.7143,0.4143
G1,degraded-mild,val,zscore-neg-L2,clean-template,yaw_sector,270-360,66,80.4545,0.3182
G1,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+00..+45,63,71.8254,0.3651
G1,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+45..+90,63,85.0,0.2698
G1,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,+90..+135,7,91.4286,0.2857
G1,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,-45..+00,63,72.9365,0.3968
G1,degraded-mild,val,zscore-neg-L2,clean-template,pitch_bin,-90..-45,63,75.873,0.3333
G1,degraded-mild,test,neg-L2,clean-template,yaw_sector,000-090,67,76.5672,0.3433
G1,degraded-mild,test,neg-L2,clean-template,yaw_sector,090-180,76,83.9474,0.2895
G1,degraded-mild,test,neg-L2,clean-template,yaw_sector,180-270,69,84.1304,0.2899
G1,degraded-mild,test,neg-L2,clean-template,yaw_sector,270-360,84,82.0238,0.25
G1,degraded-mild,test,neg-L2,clean-template,pitch_bin,+00..+45,72,76.5278,0.3056
G1,degraded-mild,test,neg-L2,clean-template,pitch_bin,+45..+90,72,81.9444,0.2639
G1,degraded-mild,test,neg-L2,clean-template,pitch_bin,+90..+135,8,90.625,0.125
G1,degraded-mild,test,neg-L2,clean-template,pitch_bin,-45..+00,72,88.4722,0.2778
G1,degraded-mild,test,neg-L2,clean-template,pitch_bin,-90..-45,72,79.1667,0.3333
G1,degraded-mild,test,cosine,clean-template,yaw_sector,000-090,67,105.2239,0.0
G1,degraded-mild,test,cosine,clean-template,yaw_sector,090-180,76,24.1447,0.7632
G1,degraded-mild,test,cosine,clean-template,yaw_sector,180-270,69,74.4928,0.0
G1,degraded-mild,test,cosine,clean-template,yaw_sector,270-360,84,155.7143,0.0
G1,degraded-mild,test,cosine,clean-template,pitch_bin,+00..+45,72,89.2361,0.2361
G1,degraded-mild,test,cosine,clean-template,pitch_bin,+45..+90,72,89.375,0.2083
G1,degraded-mild,test,cosine,clean-template,pitch_bin,+90..+135,8,86.875,0.25
G1,degraded-mild,test,cosine,clean-template,pitch_bin,-45..+00,72,91.9444,0.1806
G1,degraded-mild,test,cosine,clean-template,pitch_bin,-90..-45,72,96.25,0.1528
G1,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,000-090,67,76.5672,0.3433
G1,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,090-180,76,83.9474,0.2895
G1,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,180-270,69,84.1304,0.2899
G1,degraded-mild,test,zscore-neg-L2,clean-template,yaw_sector,270-360,84,82.0238,0.25
G1,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+00..+45,72,76.5278,0.3056
G1,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+45..+90,72,81.9444,0.2639
G1,degraded-mild,test,zscore-neg-L2,clean-template,pitch_bin,+90..+135,8,90.625,0.125
