pose_label,yaw,pitch,roll,ocs_total,n_metal_px,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct
yaw285_pitch-080_roll+000,285.0,-80.0,0.0,0.01143705,1170,0.00614326,0.00108302,0.00421077,53.714,9.469,36.817
yaw285_pitch-085_roll+000,285.0,-85.0,0.0,0.01139125,992,0.00559192,0.00102529,0.00477404,49.090,9.001,41.910
yaw290_pitch-080_roll+000,290.0,-80.0,0.0,0.01132902,1042,0.00491905,0.00054680,0.00586317,43.420,4.827,51.754
yaw290_pitch-075_roll+000,290.0,-75.0,0.0,0.01130033,1228,0.00559306,0.00056994,0.00513732,49.495,5.044,45.462
yaw285_pitch-090_roll+000,285.0,-90.0,0.0,0.01123913,844,0.00487788,0.00100575,0.00535550,43.401,8.949,47.650
yaw290_pitch-060_roll+000,290.0,-60.0,0.0,0.01122717,1820,0.00773076,0.00076632,0.00273009,68.858,6.826,24.317
yaw280_pitch-070_roll+000,280.0,-70.0,0.0,0.01118219,1695,0.00796786,0.00177341,0.00144091,71.255,15.859,12.886
yaw290_pitch-090_roll+000,290.0,-90.0,0.0,0.01117430,744,0.00366781,0.00039627,0.00711021,32.824,3.546,63.630
yaw295_pitch-075_roll-015,295.0,-75.0,-15.0,0.01116049,1507,0.00754611,0.00163059,0.00198379,67.615,14.610,17.775
yaw275_pitch-075_roll+015,275.0,-75.0,15.0,0.01113513,1181,0.00514141,0.00065386,0.00533986,46.173,5.872,47.955
yaw280_pitch-065_roll+000,280.0,-65.0,0.0,0.01112832,1872,0.00837367,0.00184093,0.00091371,75.247,16.543,8.211
yaw290_pitch-085_roll+000,290.0,-85.0,0.0,0.01108956,837,0.00407245,0.00046907,0.00654804,36.723,4.230,59.047
yaw285_pitch-075_roll+000,285.0,-75.0,0.0,0.01107836,1323,0.00636348,0.00115007,0.00356481,57.441,10.381,32.178
yaw275_pitch-065_roll+015,275.0,-65.0,15.0,0.01104089,1532,0.00604495,0.00086763,0.00412830,54.751,7.858,37.391
yaw285_pitch-060_roll+000,285.0,-60.0,0.0,0.01103356,1884,0.00816266,0.00130789,0.00156301,73.980,11.854,14.166
yaw275_pitch-070_roll+015,275.0,-70.0,15.0,0.01097729,1345,0.00548261,0.00075369,0.00474099,49.945,6.866,43.189
yaw295_pitch-070_roll-015,295.0,-70.0,-15.0,0.01087511,1658,0.00789857,0.00161912,0.00135742,72.630,14.888,12.482
yaw295_pitch-065_roll-015,295.0,-65.0,-15.0,0.01086861,1830,0.00868198,0.00156392,0.00062272,79.881,14.389,5.730
yaw285_pitch-065_roll+000,285.0,-65.0,0.0,0.01073015,1695,0.00718179,0.00123888,0.00230948,66.931,11.546,21.523
yaw290_pitch-065_roll+000,290.0,-65.0,0.0,0.01071871,1565,0.00644220,0.00069051,0.00358599,60.102,6.442,33.455
yaw290_pitch-070_roll+000,290.0,-70.0,0.0,0.01068321,1389,0.00569152,0.00062210,0.00436959,53.275,5.823,40.902
yaw285_pitch-070_roll+000,285.0,-70.0,0.0,0.01062832,1494,0.00649086,0.00117324,0.00296421,61.071,11.039,27.890
