pose_label,yaw,pitch,roll,ocs_total,avgN_vs_sun_deg,avgN_vs_det_deg,avgN_vs_H_deg,weighted_metal_NH,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal
yaw190_pitch+010_roll+060,190.0,10.0,60.0,0.01197166,7.808,58.627,27.526,0.69293,54.597,0.160,2.04206e-03
yaw200_pitch+010_roll+060,200.0,10.0,60.0,0.01191062,34.420,45.668,26.610,0.60349,45.519,0.061,1.29946e-03
yaw280_pitch-085_roll+000,280.0,-85.0,0.0,0.01188527,11.506,52.557,21.297,0.72365,42.331,0.744,9.40196e-03
yaw280_pitch-080_roll+000,280.0,-80.0,0.0,0.01180178,10.528,52.584,21.028,0.70194,42.057,0.728,8.22383e-03
yaw195_pitch+010_roll+060,195.0,10.0,60.0,0.01175905,17.924,54.404,25.865,0.63276,49.051,0.114,1.58651e-03
yaw285_pitch-080_roll+000,285.0,-80.0,0.0,0.01143705,21.931,42.073,11.519,0.69143,22.345,1.368,1.06132e-02
yaw285_pitch-085_roll+000,285.0,-85.0,0.0,0.01139125,21.842,41.387,9.979,0.71835,19.855,1.714,1.32024e-02
yaw290_pitch-080_roll+000,290.0,-80.0,0.0,0.01132902,38.592,30.102,14.928,0.68443,25.823,0.672,9.31691e-03
yaw290_pitch-075_roll+000,290.0,-75.0,0.0,0.01130033,38.227,34.550,19.227,0.65379,32.671,0.733,7.00986e-03
yaw285_pitch-090_roll+000,285.0,-90.0,0.0,0.01123913,22.547,40.886,9.762,0.74953,19.229,0.711,1.09366e-02
yaw290_pitch-060_roll+000,290.0,-60.0,0.0,0.01122717,47.734,43.059,34.577,0.62939,57.955,0.000,4.34047e-04
yaw280_pitch-070_roll+000,280.0,-70.0,0.0,0.01118219,14.819,52.833,22.818,0.65630,44.288,0.000,2.32244e-03
yaw290_pitch-090_roll+000,290.0,-90.0,0.0,0.01117430,39.283,24.286,8.503,0.76618,16.504,0.806,8.26074e-03
yaw295_pitch-075_roll-015,295.0,-75.0,-15.0,0.01116049,12.418,52.871,21.995,0.65394,43.388,0.000,3.20355e-03
yaw275_pitch-075_roll+015,275.0,-75.0,15.0,0.01113513,36.996,32.448,15.465,0.65767,26.399,0.677,7.10231e-03
yaw280_pitch-065_roll+000,280.0,-65.0,0.0,0.01112832,20.031,52.102,24.260,0.64701,45.417,0.053,8.76590e-04
yaw290_pitch-085_roll+000,290.0,-85.0,0.0,0.01108956,38.055,26.822,9.712,0.72254,17.605,0.956,9.45391e-03
yaw285_pitch-075_roll+000,285.0,-75.0,0.0,0.01107836,23.521,44.394,16.807,0.65305,30.895,0.831,6.36429e-03
yaw275_pitch-065_roll+015,275.0,-65.0,15.0,0.01104089,39.277,40.472,25.765,0.61055,43.489,0.000,2.44824e-03
yaw285_pitch-060_roll+000,285.0,-60.0,0.0,0.01103356,36.737,45.662,28.320,0.63650,48.093,0.000,8.54476e-04
yaw275_pitch-070_roll+015,275.0,-70.0,15.0,0.01097729,38.989,36.797,22.191,0.62722,37.575,0.372,4.16965e-03
yaw295_pitch-070_roll-015,295.0,-70.0,-15.0,0.01087511,19.982,52.045,24.171,0.63715,45.269,0.000,1.49569e-03
yaw295_pitch-065_roll-015,295.0,-65.0,-15.0,0.01086861,27.122,50.886,26.822,0.64035,47.876,0.000,9.39172e-04
yaw285_pitch-065_roll+000,285.0,-65.0,0.0,0.01073015,33.772,46.264,26.696,0.61606,45.805,0.000,6.14575e-04
yaw290_pitch-065_roll+000,290.0,-65.0,0.0,0.01071871,47.472,44.516,35.410,0.59873,59.221,0.000,6.14756e-04
yaw290_pitch-070_roll+000,290.0,-70.0,0.0,0.01068321,44.548,41.654,31.065,0.59936,52.214,0.144,1.92041e-03
yaw285_pitch-070_roll+000,285.0,-70.0,0.0,0.01062832,29.366,46.910,24.187,0.61591,42.398,0.000,2.04832e-03
