region,category,yaw,pitch,roll,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info,low-info/ocs-hard,65,70,45,20_pack,1.985491e-02,88,58,1.255819,0.782472,1.570585,5978,5720,2.167373e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,70,60,20_pack,1.311526e-02,106,76,1.759636,0.518385,1.570585,6163,5626,1.455590e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,75,-60,20_pack,1.611019e-02,106,78,0.424983,0.370422,1.538643,3943,3648,2.757451e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,75,-45,20_pack,1.610878e-02,107,79,1.230776,0.525440,1.538643,4369,4265,2.358336e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,75,-30,20_pack,1.989564e-02,80,52,1.291026,0.993064,1.538643,5314,5233,2.373937e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,75,-15,20_pack,2.856570e-02,38,10,0.436060,1.465472,1.538643,5997,3421,5.213792e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,75,0,01_fullrun,5.287804e-02,28,0,0.545443,1.094146,1.538643,6319,4273,7.726884e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,75,15,20_pack,3.673418e-02,54,26,0.431891,1.170411,1.538643,6253,4840,4.739003e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,75,30,20_pack,2.597766e-02,63,35,0.632696,1.069546,1.538643,5896,5208,3.114519e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,75,45,20_pack,1.997233e-02,87,59,1.113973,0.784595,1.538643,5915,5630,2.215044e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,75,60,20_pack,1.358642e-02,99,71,1.680609,0.527290,1.538643,6121,5626,1.507881e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,80,-60,20_pack,1.659003e-02,100,73,0.344498,0.352456,1.501924,3870,3548,2.919614e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,80,-45,20_pack,1.570720e-02,114,87,1.207690,0.479044,1.501924,4236,4137,2.370693e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,80,-30,20_pack,1.994706e-02,79,52,1.278665,0.921172,1.501924,5227,5136,2.425023e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,80,-15,20_pack,2.810282e-02,40,13,0.393161,1.472432,1.501924,5919,3286,5.340037e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,80,0,01_fullrun,5.331339e-02,27,0,0.548943,1.084923,1.501924,6268,4156,8.009818e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,80,15,20_pack,4.006243e-02,49,22,0.382206,1.154327,1.501924,6211,4747,5.269629e-02,1,0,0
R3_low_info,low-info/ocs-hard,65,80,30,20_pack,2.662700e-02,58,31,0.774582,1.028771,1.501924,5850,5085,3.269589e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,80,45,20_pack,2.036519e-02,86,59,1.104066,0.757217,1.501924,5813,5525,2.301538e-02,1,1,0
R3_low_info,low-info/ocs-hard,65,80,60,20_pack,1.412343e-02,95,68,1.634971,0.497790,1.501924,6071,5572,1.582672e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,60,-60,20_pack,1.626585e-02,104,44,0.651166,0.345977,1.043228,4306,3942,2.576452e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,60,-45,20_pack,1.501039e-02,118,58,1.229146,0.441825,1.043228,4478,4385,2.137393e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,60,-30,20_pack,1.912187e-02,82,22,1.312806,0.833261,1.043228,5349,5288,2.257880e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,60,-15,20_pack,2.643923e-02,54,-6,0.635332,1.221562,1.043228,6030,3634,4.542823e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,60,0,01_fullrun,3.856452e-02,60,0,0.808257,0.871932,1.043228,6388,4461,5.397811e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,60,15,20_pack,3.273356e-02,63,3,0.532913,0.838335,1.043228,6371,4985,4.100058e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,60,30,20_pack,2.627634e-02,60,0,0.708237,0.605220,1.043228,6080,5399,3.038879e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,60,45,20_pack,2.040429e-02,85,25,1.002001,0.764717,1.043228,6015,5804,2.195109e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,60,60,20_pack,1.432240e-02,93,33,1.693315,0.524056,1.043228,6205,5770,1.549893e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,65,-60,20_pack,1.700034e-02,98,41,0.501439,0.427404,1.014106,4309,3867,2.745020e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,65,-45,20_pack,1.552427e-02,115,58,1.335364,0.438646,1.014106,4345,4254,2.278639e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,65,-30,20_pack,1.879617e-02,87,30,1.272153,0.837397,1.014106,5239,5178,2.266571e-02,1,1,0
R3_low_info,low-info/ocs-hard,70,65,-15,20_pack,2.632289e-02,56,-1,0.615395,1.225835,1.014106,5976,3476,4.728417e-02,1,0,0
R3_low_info,low-info/ocs-hard,70,65,0,01_fullrun,3.873486e-02,57,0,0.762843,0.876324,1.014106,6376,4315,5.605097e-02,1,0,0
