label,yaw,pitch,roll,ocs_total,src_pkg,region,category,json_ok,exr_ok,vsun_ok,geometry_eligible
yaw1450_pitchp0200_roll+015,145.0,20.0,15.0,0.10560978,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0225_roll+015,145.0,22.5,15.0,0.07060175,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0250_roll+015,145.0,25.0,15.0,0.04550757,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0100_roll+015,147.5,10.0,15.0,0.18352495,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0125_roll+015,147.5,12.5,15.0,0.19740409,P3,R4_control,23A_refined_topN,1,1,1,YES
yaw1475_pitchp0150_roll+015,147.5,15.0,15.0,0.18585368,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0175_roll+015,147.5,17.5,15.0,0.15333836,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0200_roll+015,147.5,20.0,15.0,0.11151005,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0225_roll+015,147.5,22.5,15.0,0.07388399,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0250_roll+015,147.5,25.0,15.0,0.04682091,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0100_roll+015,150.0,10.0,15.0,0.17190619,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0125_roll+015,150.0,12.5,15.0,0.18526162,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0150_roll+015,150.0,15.0,15.0,0.17514591,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0175_roll+015,150.0,17.5,15.0,0.14414373,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0200_roll+015,150.0,20.0,15.0,0.10554866,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0225_roll+015,150.0,22.5,15.0,0.07040103,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0250_roll+015,150.0,25.0,15.0,0.04482312,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0100_roll+015,152.5,10.0,15.0,0.14287986,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0125_roll+015,152.5,12.5,15.0,0.15335290,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0150_roll+015,152.5,15.0,15.0,0.14492609,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0175_roll+015,152.5,17.5,15.0,0.12075651,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0200_roll+015,152.5,20.0,15.0,0.08885001,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0225_roll+015,152.5,22.5,15.0,0.06156409,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0250_roll+015,152.5,25.0,15.0,0.04035589,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
