degrade_level,geom,select,record_id,yaw_true,pitch_true,neural_ocs_yaw_err,image_yaw_err,joint_yaw_err,pdb_yaw_err,pdb_margin,pdb_nearest_distance,pdb_cand_yaw_spread,hardcase_labels
clean,G3,best,G3_yaw150_pitch+055,150.0,55.0,5.207,2.811,0.472,0.0,1e-06,1e-06,0.0,robust-easy
clean,G3,best,G3_yaw130_pitch-060,130.0,-60.0,36.145,7.521,0.305,0.0,0.0,1e-06,88.182,disagreement-hard
clean,G3,best,G3_yaw240_pitch-015,240.0,-15.0,7.322,5.481,0.874,5.0,7e-06,2e-06,68.293,robust-easy
clean,G3,best,G3_yaw305_pitch+015,305.0,15.0,27.814,1.825,0.777,180.0,1e-06,0.0,86.971,disagreement-hard
clean,G3,best,G3_yaw330_pitch-090,330.0,-90.0,4.88,4.344,0.162,0.0,4e-06,9e-06,76.172,robust-easy
clean,G3,best,G3_yaw275_pitch-015,275.0,-15.0,106.105,3.633,1.438,0.0,2e-06,0.0,37.017,disagreement-hard
clean,G3,best,G3_yaw045_pitch-050,45.0,-50.0,5.457,1.986,0.619,0.0,1e-06,0.0,0.0,robust-easy
clean,G3,best,G3_yaw105_pitch-085,105.0,-85.0,89.662,0.333,2.765,175.0,3e-06,3e-06,86.377,ocs-hard
clean,G3,best,G3_yaw085_pitch+000,85.0,0.0,48.095,2.914,3.299,0.0,1e-06,0.0,61.28,disagreement-hard
clean,G3,best,G3_yaw090_pitch+015,90.0,15.0,50.435,0.891,2.51,0.0,1e-06,2e-06,50.0,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw155_pitch-035,155.0,-35.0,87.735,6.681,0.75,0.0,1e-06,0.0,4.583,disagreement-hard
clean,G3,best,G3_yaw285_pitch-035,285.0,-35.0,32.766,2.266,0.703,5.0,0.0,0.0,85.541,disagreement-hard
clean,G3,best,G3_yaw135_pitch-010,135.0,-10.0,32.464,4.196,2.295,0.0,1e-06,0.0,14.697,disagreement-hard
clean,G3,best,G3_yaw270_pitch-050,270.0,-50.0,53.911,4.141,1.328,0.0,0.0,0.0,76.133,disagreement-hard
clean,G3,best,G3_yaw180_pitch-090,180.0,-90.0,0.39,10.265,1.358,125.0,0.0,0.0,49.105,disagreement-hard
clean,G3,best,G3_yaw050_pitch-055,50.0,-55.0,8.215,1.99,3.965,0.0,1e-06,0.0,0.0,robust-easy
clean,G3,best,G3_yaw070_pitch-085,70.0,-85.0,178.679,0.683,1.207,0.0,1e-06,9e-06,76.956,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw200_pitch+000,200.0,0.0,166.316,9.204,2.827,0.0,1e-06,0.0,2.0,disagreement-hard
clean,G3,best,G3_yaw150_pitch+085,150.0,85.0,13.742,17.538,6.348,0.0,2.2e-05,3.6e-05,0.0,robust-easy
clean,G3,best,G3_yaw090_pitch+025,90.0,25.0,1.041,1.73,5.208,0.0,1e-06,3e-06,2.291,robust-easy
clean,G3,best,G3_yaw180_pitch+090,180.0,90.0,26.702,14.701,6.912,65.0,0.0,0.0,74.968,disagreement-hard
clean,G3,best,G3_yaw065_pitch-090,65.0,-90.0,92.214,1.218,4.071,175.0,0.0,1.1e-05,84.334,ocs-hard
clean,G3,best,G3_yaw280_pitch+080,280.0,80.0,90.003,7.533,1.481,180.0,6e-06,3e-06,84.416,ocs-hard
clean,G3,best,G3_yaw035_pitch+080,35.0,80.0,7.389,4.703,1.067,0.0,1e-06,0.0,0.0,robust-easy
clean,G3,best,G3_yaw115_pitch+015,115.0,15.0,115.398,0.567,4.034,170.0,2e-06,3e-06,88.034,ocs-hard
clean,G3,best,G3_yaw115_pitch-025,115.0,-25.0,110.593,0.318,0.042,5.0,0.0,0.0,64.413,disagreement-hard
clean,G3,best,G3_yaw220_pitch+065,220.0,65.0,1.752,0.984,0.705,0.0,1e-06,0.0,0.0,robust-easy
clean,G3,best,G3_yaw170_pitch+050,170.0,50.0,98.266,12.069,1.135,0.0,0.0,0.0,70.514,disagreement-hard
clean,G3,best,G3_yaw140_pitch+020,140.0,20.0,54.895,13.132,0.157,0.0,3.5e-05,8e-06,60.283,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw315_pitch-015,315.0,-15.0,70.589,5.316,3.111,0.0,9e-06,0.0,24.92,disagreement-hard
clean,G3,best,G3_yaw105_pitch-025,105.0,-25.0,30.43,0.678,2.13,15.0,0.0,0.0,69.002,disagreement-hard
clean,G3,best,G3_yaw250_pitch-010,250.0,-10.0,0.529,3.313,0.945,65.0,5e-06,1e-06,34.673,disagreement-hard
clean,G3,best,G3_yaw335_pitch+025,335.0,25.0,11.024,0.062,0.615,0.0,1e-06,1e-06,4.899,robust-easy
clean,G3,best,G3_yaw040_pitch-075,40.0,-75.0,6.986,2.158,2.062,0.0,1e-06,0.0,0.0,robust-easy
clean,G3,best,G3_yaw325_pitch-085,325.0,-85.0,50.142,2.196,1.02,0.0,2.1e-05,2.4e-05,23.043,disagreement-hard
clean,G3,best,G3_yaw270_pitch+030,270.0,30.0,47.684,3.999,3.049,0.0,0.0,1e-06,85.035,disagreement-hard
clean,G3,best,G3_yaw175_pitch+010,175.0,10.0,14.563,14.188,3.204,0.0,1e-06,0.0,40.2,robust-easy
clean,G3,best,G3_yaw115_pitch+020,115.0,20.0,119.399,0.712,2.252,0.0,4e-06,0.0,85.763,disagreement-hard
clean,G3,best,G3_yaw080_pitch+010,80.0,10.0,147.721,0.327,1.445,0.0,0.0,0.0,70.0,disagreement-hard
clean,G3,best,G3_yaw195_pitch+050,195.0,50.0,169.367,13.118,2.274,0.0,0.0,0.0,77.904,disagreement-hard
clean,G3,best,G3_yaw195_pitch+040,195.0,40.0,156.34,16.457,2.795,0.0,0.0,0.0,68.0,disagreement-hard
clean,G3,best,G3_yaw220_pitch+030,220.0,30.0,3.072,8.177,0.02,0.0,1e-06,0.0,56.0,robust-easy
