yaw,pitch,roll,ocs_no_occ,ocs_with_occ,occlusion_ratio,visible_faces_no_occ,visible_faces_with_occ,ocs_no_occ_jinshuzhuti,ocs_no_occ_taiyangnengban,ocs_no_occ_yinshenban,ocs_with_occ_jinshuzhuti,ocs_with_occ_taiyangnengban,ocs_with_occ_yinshenban,visible_faces_no_occ_jinshuzhuti,visible_faces_no_occ_taiyangnengban,visible_faces_no_occ_yinshenban,visible_faces_with_occ_jinshuzhuti,visible_faces_with_occ_taiyangnengban,visible_faces_with_occ_yinshenban
0.0,70.0,0.0,0.023923087583729706,0.007585842975382095,0.6829070265770674,36377,5133,0.003034157707422363,0.020517352823672595,0.0003715770526347474,0.00046774814348719536,0.0069177115376840475,0.0002003832942108523,34751,1320,306,4758,342,33
0.0,75.0,0.0,0.03057186836354629,0.009421825305637238,0.6918138860995566,36121,5036,0.007395795264223763,0.022819772889077584,0.000356300210244939,0.001565765381177815,0.007664599373102562,0.0001914605513568603,34492,1312,317,4661,342,33
0.0,80.0,0.0,0.05577050020671039,0.01945298008671161,0.6511958828662076,35582,4887,0.030507816082415994,0.024920351490517814,0.0003423326337765812,0.010897869576971808,0.008362429382363971,0.00019268112737583044,33955,1311,316,4505,346,36
0.0,85.0,0.0,0.04448253912051509,0.010676888920152729,0.7599757313487393,35771,4734,0.017394271314921092,0.02675835438463647,0.0003299134209575293,0.0015459509599515069,0.008953636412564938,0.00017730154763628543,34169,1288,314,4354,344,36
0.0,90.0,0.0,0.03664439454958281,0.010700369433486389,0.7079943722631867,35578,4577,0.008052305312616938,0.028272794055173356,0.0003192951817925123,0.001087598048030315,0.00944136104546274,0.00017141033999333393,33969,1288,321,4195,346,36
5.0,-90.0,0.0,0.03505847900267511,0.01091658822463842,0.6886177456869866,38322,7338,0.006137186214361775,0.02826172653660942,0.0006595662517039113,0.0014376959116889033,0.009075578801747964,0.00040331351120155215,36339,1480,503,6792,457,89
5.0,-85.0,0.0,0.03974763376173978,0.010953976366359424,0.7244118623005054,33082,6267,0.009791753184588695,0.029398604541608142,0.0005572760355429428,0.001167420299881406,0.009434235033342613,0.0003523210331354055,31175,1461,446,5752,437,78
5.0,-80.0,0.0,0.06342217360398851,0.012280959865248372,0.8063617317512428,32532,5972,0.03288822613385817,0.030080596416394864,0.00045335105373548433,0.002339584940218023,0.009649769100573205,0.0002916058244571432,30675,1416,441,5465,433,74
5.0,-75.0,0.0,0.06120295230142949,0.012913335654948009,0.7890079617181082,32445,5668,0.03060697715052882,0.030251311871560983,0.00034466327933969064,0.0027072970693182256,0.0099787495291171,0.00022728905651268417,30567,1434,444,5159,437,72
5.0,-70.0,0.0,0.039751635911503255,0.011189578305508046,0.718512759313384,33564,5249,0.00952960220387775,0.029907498608402326,0.0003145350992231746,0.0013267017431076071,0.009650677027312649,0.00021219953508779096,31958,1412,194,4832,394,23
5.0,-65.0,0.0,0.035475957721706725,0.010172303038637543,0.7132620599439545,33605,5010,0.006075809754398503,0.029072053233633075,0.0003280947336751481,0.0006098325357066511,0.009341413224927694,0.00022105727800319813,32025,1383,197,4604,383,23
5.0,-60.0,0.0,0.033247033164805324,0.00976134787339896,0.7063994304390403,33759,5043,0.0051077856305357505,0.027795795717406094,0.00034345181686348196,0.0006912874411360292,0.008843674072806246,0.00022638635945668406,32167,1398,194,4644,378,21
5.0,-55.0,0.0,0.0296092336128338,0.009202279979474764,0.6892091129475861,33800,5047,0.003101041643521339,0.026147848630426056,0.00036034333888640467,0.0006368761810089118,0.008318802337495743,0.00024660146097010816,32221,1382,197,4649,373,25
5.0,-50.0,0.0,0.028368759121812664,0.009821699161366186,0.6537846749238212,33963,5033,0.003793905396288052,0.024196144509813083,0.00037870921571152836,0.0018478836873097833,0.007720293350455064,0.0002535221236013379,32388,1387,188,4639,371,23
5.0,-45.0,0.0,0.024661903789974435,0.008076791009605472,0.6724992896578872,33949,4960,0.002259036414174182,0.02200475829962321,0.00039810907617704043,0.0007488214765188331,0.00705233895779621,0.0002756305752904284,32347,1414,188,4561,374,25
5.0,-40.0,0.0,0.02239281442969219,0.00764779638055995,0.6584709615411627,34108,4989,0.002337516795976777,0.01963706002586573,0.00041823760784968293,0.001026688238945499,0.006330641333127109,0.000290466808487342,32493,1428,187,4593,374,22
5.0,-35.0,0.0,0.020250600038310657,0.007351330504045821,0.6369820899065526,34131,5039,0.0026531228467582407,0.017158672976540286,0.00043880421501213103,0.0015186119261894767,0.005518933236643769,0.0003137853412125751,32507,1430,194,4649,368,22
